Symbol,Date,Close
UNL,1/4/2022,19100
UNL,1/3/2022,19100
UNL,1/2/2022,19050
UNL,12/29/2021,19096
UNL,12/28/2021,18800
UNL,12/27/2021,19000
UNL,12/26/2021,19100
UNL,12/23/2021,18900
UNL,12/22/2021,19000
UNL,12/21/2021,19000
UNL,12/20/2021,18850
UNL,12/16/2021,18700
UNL,12/15/2021,18700
UNL,12/13/2021,19312
UNL,12/12/2021,18564
UNL,12/9/2021,18200
UNL,12/8/2021,18155
UNL,12/7/2021,18401
UNL,12/6/2021,18400
UNL,12/5/2021,18900
UNL,12/2/2021,18251
UNL,11/30/2021,18300
UNL,11/29/2021,18625
UNL,11/28/2021,19000
UNL,11/25/2021,19295
UNL,11/24/2021,19001
UNL,11/23/2021,19005
UNL,11/21/2021,19200
UNL,11/18/2021,19308.1
UNL,11/17/2021,19600
UNL,11/16/2021,19999
UNL,11/11/2021,19880
UNL,11/9/2021,19499
UNL,11/8/2021,19167
UNL,11/3/2021,18800
UNL,11/1/2021,19550
UNL,10/31/2021,19710
UNL,10/28/2021,19012
UNL,10/27/2021,19400
UNL,10/26/2021,19200
UNL,10/25/2021,19142.9
UNL,10/24/2021,19533.5
UNL,10/21/2021,18750.2
UNL,10/20/2021,18700
UNL,10/19/2021,18798
UNL,10/18/2021,18999
UNL,10/11/2021,18914
UNL,10/10/2021,19750
UNL,10/6/2021,19324
UNL,10/5/2021,19000
UNL,10/4/2021,18750
UNL,10/3/2021,18660
UNL,9/30/2021,18800
UNL,9/29/2021,18800
UNL,9/28/2021,19399
UNL,9/26/2021,19650
UNL,9/23/2021,19380
UNL,9/22/2021,19498
UNL,9/21/2021,19074
UNL,9/20/2021,19012
UNL,9/16/2021,19400
UNL,9/15/2021,19550
UNL,9/14/2021,19650
UNL,9/13/2021,19630
UNL,9/12/2021,19400.4
UNL,9/9/2021,19500
UNL,9/8/2021,20070.4
UNL,9/7/2021,20480
UNL,9/6/2021,19500
UNL,9/5/2021,19265
UNL,9/2/2021,19466
UNL,9/1/2021,19850
UNL,8/31/2021,19700
UNL,8/29/2021,19501
UNL,8/26/2021,19580
UNL,8/24/2021,19580
UNL,8/19/2021,19960
UNL,8/18/2021,20000
UNL,8/17/2021,20090
UNL,8/16/2021,20344
UNL,8/15/2021,20400
UNL,8/12/2021,19597
UNL,8/11/2021,19953
UNL,8/10/2021,20360
UNL,8/9/2021,19982
UNL,8/8/2021,19590.2
UNL,8/5/2021,19608
UNL,8/4/2021,20298
UNL,8/3/2021,19602
UNL,8/2/2021,20375
UNL,8/1/2021,20175
UNL,7/29/2021,19698.1
UNL,7/28/2021,20100.1
UNL,7/27/2021,20100
UNL,7/26/2021,20250
UNL,7/25/2021,20200
UNL,7/22/2021,19989.7
UNL,7/20/2021,19900
UNL,7/19/2021,19600
UNL,7/18/2021,19790
UNL,7/15/2021,19395
UNL,7/13/2021,19790
UNL,7/12/2021,19900
UNL,7/11/2021,19980
UNL,7/8/2021,19800
UNL,7/7/2021,19315
UNL,7/6/2021,19700
UNL,7/5/2021,19700
UNL,7/4/2021,19350
UNL,7/1/2021,19650
UNL,6/30/2021,19995
UNL,6/29/2021,19900
UNL,6/28/2021,19700
UNL,6/27/2021,20089
UNL,6/24/2021,20130
UNL,6/23/2021,20139
UNL,6/22/2021,19990
UNL,6/21/2021,19221
UNL,6/20/2021,19604
UNL,6/17/2021,20000
UNL,6/16/2021,19700
UNL,6/15/2021,19998
UNL,6/14/2021,19998
UNL,6/13/2021,19740
UNL,6/10/2021,19412
UNL,6/9/2021,19310
UNL,6/8/2021,19610
UNL,6/7/2021,19725
UNL,6/6/2021,19600
UNL,6/3/2021,19826
UNL,6/2/2021,20000
UNL,6/1/2021,19894
UNL,5/31/2021,20300
UNL,5/30/2021,20200
UNL,5/27/2021,20000
UNL,5/25/2021,20000
UNL,5/24/2021,20150
UNL,5/23/2021,20150
UNL,5/20/2021,20483
UNL,5/19/2021,20899
UNL,5/18/2021,21070
UNL,5/17/2021,21030
UNL,5/16/2021,21300
UNL,5/13/2021,21100
UNL,5/12/2021,21430
UNL,5/11/2021,19550
UNL,5/9/2021,19079
UNL,5/6/2021,19079
UNL,5/5/2021,18705
UNL,5/4/2021,18851
UNL,5/3/2021,18902
